68895,efilogin-helper,47.5,0.00B,0.00B,0.00B,running,2020-06-01 10:54:05,0,4,0
126,CyOptics,41.4,125.56MB,0.00B,0.00B,running,2020-05-29 13:51:50,0,36,0
1366,zoom.us,23.2,0.00B,0.00B,0.00B,running,2020-05-29 13:56:40,0,38,0
1352,Skype for Business,15.9,0.00B,0.00B,0.00B,running,2020-05-29 13:56:39,0,33,0
123,nxtsvc,12.3,0.00B,0.00B,0.00B,running,2020-05-29 13:51:50,0,9,0
280,WindowServer,11.1,0.00B,0.00B,0.00B,running,2020-05-29 13:51:53,0,10,0
126,CyOptics,102.7,67.12MB,0.00B,0.00B,running,2020-05-29 13:51:50,0,38,0
1366,zoom.us,24.3,0.00B,0.00B,0.00B,running,2020-05-29 13:56:40,0,38,0
1352,Skype for Business,16.3,0.00B,0.00B,0.00B,running,2020-05-29 13:56:39,0,32,0
123,nxtsvc,16.2,0.00B,0.00B,0.00B,running,2020-05-29 13:51:50,0,9,0
280,WindowServer,14.7,0.00B,0.00B,0.00B,running,2020-05-29 13:51:53,0,10,0
67395,Google Chrome Helper (Renderer),11.9,0.00B,0.00B,0.00B,running,2020-06-01 10:53:25,0,17,0
1366,zoom.us,25.0,0.00B,0.00B,0.00B,running,2020-05-29 13:56:40,0,38,0
1352,Skype for Business,19.4,0.00B,0.00B,0.00B,running,2020-05-29 13:56:39,0,32,0
123,nxtsvc,15.9,0.00B,0.00B,0.00B,running,2020-05-29 13:51:50,0,9,0
280,WindowServer,15.4,0.00B,0.00B,0.00B,running,2020-05-29 13:51:53,0,10,0
349,mds_stores,12.1,0.00B,0.00B,0.00B,running,2020-05-29 13:51:59,0,6,0
94,mds,10.3,0.00B,0.00B,0.00B,running,2020-05-29 13:51:50,0,10,0
1261,Google Chrome,10.2,0.00B,0.00B,0.00B,running,2020-05-29 13:56:38,0,42,0
1366,zoom.us,26.7,0.00B,0.00B,0.00B,running,2020-05-29 13:56:40,0,38,0
349,mds_stores,23.9,0.00B,0.00B,0.00B,running,2020-05-29 13:51:59,0,5,0
280,WindowServer,16.6,0.00B,0.00B,0.00B,running,2020-05-29 13:51:53,0,10,0
1352,Skype for Business,16.6,0.00B,0.00B,0.00B,running,2020-05-29 13:56:39,0,32,0
1261,Google Chrome,12.3,0.00B,0.00B,0.00B,running,2020-05-29 13:56:38,0,44,0
123,nxtsvc,11.9,0.00B,0.00B,0.00B,running,2020-05-29 13:51:50,0,9,0
126,CyOptics,10.6,67.15MB,0.00B,0.00B,running,2020-05-29 13:51:50,0,36,0
1366,zoom.us,24.7,0.00B,0.00B,0.00B,running,2020-05-29 13:56:40,0,38,0
123,nxtsvc,18.8,0.00B,0.00B,0.00B,running,2020-05-29 13:51:50,0,9,0
1261,Google Chrome,16.3,0.00B,0.00B,0.00B,running,2020-05-29 13:56:38,0,40,0
67394,Google Chrome Helper (Renderer),16.2,0.00B,0.00B,0.00B,running,2020-06-01 10:53:25,0,20,0
280,WindowServer,16.1,0.00B,0.00B,0.00B,running,2020-05-29 13:51:53,0,10,0
